Delaunay polytope 40 vertices centrally symmetric
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 1 1 -1 0 -1
 1 1 1 1 -1 0 -2
 0 0 1 1 -1 0 0
 1 0 1 1 -1 0 -1
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 0 1 1 1 -1 -1
 1 0 1 1 1 -1 -2
 0 1 1 1 0 -1 -1
 1 1 1 1 0 -1 -2
 0 0 1 1 0 -1 0
 1 0 1 1 0 -1 -1
 0 1 0 0 0 1 -1
 1 1 0 0 0 1 -2
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 0 0 -1 1 0
 1 1 0 0 -1 1 -1
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 36 vertices
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 0 1 1 1 -1 -1
 1 0 1 1 1 -1 -2
 0 1 1 0 1 0 -2
 1 1 1 0 1 0 -3
 0 0 1 0 1 0 -1
 1 0 1 0 1 0 -2
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 1 1 0 -1 -1
 1 1 1 1 0 -1 -2
 0 0 1 1 0 -1 0
 1 0 1 1 0 -1 -1
 0 1 0 0 0 1 -1
 1 1 0 0 0 1 -2
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 40 vertices
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 0 1 1 1 -1 -1
 1 0 1 1 1 -1 -2
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
